Landmark,Y
8,0.299286515
9,0.447080731
10,0.397110313
11,0.409116149
12,0.417064518
13,0.468290508
14,0.430407494
15,0.467159718
16,0.486608803
17,0.494708836
18,0.469939917
19,0.49834156
20,0.518087804
0,0.611969829
1,0.557462454
2,0.491391152
3,0.4349491
4,0.385850787
5,0.440316617
6,0.378254473
7,0.336160451
8,0.300790489
9,0.450786382
10,0.39855057
11,0.392813623
12,0.389182508
13,0.471532643
14,0.429269224
15,0.459166765
16,0.481371731
17,0.495444179
18,0.469529331
19,0.493567735
20,0.514946103
0,0.612136781
1,0.561652303
2,0.49412027
3,0.437068015
4,0.387746692
5,0.436821133
6,0.375437587
7,0.334186435
8,0.299369335
9,0.448106527
10,0.396367043
11,0.408422172
12,0.420209795
13,0.469509631
14,0.429840297
15,0.465718806
16,0.487522125
17,0.495476723
18,0.469461143
19,0.497685969
20,0.518536925
0,0.587887883
1,0.556293845
2,0.487029016
3,0.430815995
4,0.381703228
5,0.44384855
6,0.394359797
7,0.355957985
8,0.32537356
9,0.451613396
10,0.403556287
11,0.42147103
12,0.418958426
13,0.468898177
14,0.42553398
15,0.463747919
16,0.472236753
17,0.49047026
18,0.47207889
19,0.501244724
20,0.511910141
0,0.611697257
1,0.557090163
2,0.490826696
3,0.433958888
4,0.384698808
5,0.440159023
6,0.376885116
7,0.334563971
8,0.298340112
9,0.450274646
10,0.397113323
11,0.399384588
12,0.404033065
13,0.470460176
14,0.427574903
15,0.459591806
16,0.483090073
17,0.494574428
18,0.467045188
19,0.492827743
20,0.515290856
0,0.607904255
1,0.561856627
2,0.494519413
3,0.435643137
4,0.384897828
5,0.436555713
6,0.372493863
7,0.330740929
8,0.295501918
9,0.445732206
10,0.391508996
11,0.40326345
12,0.414954901
13,0.466262013
14,0.425982028
15,0.463752329
16,0.484177083
17,0.492682815
18,0.467401415
19,0.499257952
20,0.519260883
0,0.56542635
1,0.546880484
2,0.484043419
3,0.429920316
4,0.383961141
5,0.435471207
6,0.379757524
7,0.341065407
8,0.308698088
