Landmark,Y
17,0.433972836
18,0.409903526
19,0.39303863
20,0.376636237
0,0.647759199
1,0.603994608
2,0.537873507
3,0.487249464
4,0.451060772
5,0.443754792
6,0.367748678
7,0.320899427
8,0.280247331
9,0.437621891
10,0.356389552
11,0.307957053
12,0.270344317
13,0.453808844
14,0.3806113
15,0.335229874
16,0.292703271
17,0.48503086
18,0.459120303
19,0.478975028
20,0.499806225
0,0.530017555
1,0.532137632
2,0.511093974
3,0.485538274
4,0.466029346
5,0.444374412
6,0.378605783
7,0.334585369
8,0.295429885
9,0.429945976
10,0.363029063
11,0.315791667
12,0.271753967
13,0.428608537
14,0.367873132
15,0.321042806
16,0.282194048
17,0.434840173
18,0.391973704
19,0.356931269
20,0.325616032
0,0.65265131
1,0.607827187
2,0.54131788
3,0.492831767
4,0.457569808
5,0.446111292
6,0.367047995
7,0.320073783
8,0.278578401
9,0.441803128
10,0.357675731
11,0.308276594
12,0.268776685
13,0.460362494
14,0.387072891
15,0.342340708
16,0.297938764
17,0.493721545
18,0.464892745
19,0.484863937
20,0.505350888
0,0.558185399
1,0.553799987
2,0.52391386
3,0.493980348
4,0.472979277
5,0.43318513
6,0.363429844
7,0.318006784
8,0.278526247
9,0.429247856
10,0.353779465
11,0.303688288
12,0.258203149
13,0.44501546
14,0.389866263
15,0.354714334
16,0.321763694
17,0.473194659
18,0.460167259
19,0.477731228
20,0.492784739
0,0.654582977
1,0.609352291
2,0.543678701
3,0.495377123
4,0.459364206
5,0.447084635
6,0.365557253
7,0.318207562
8,0.276958436
9,0.442886472
10,0.356853902
11,0.307249665
12,0.268760383
13,0.462277442
14,0.388711035
15,0.341677994
16,0.294671535
17,0.497455299
18,0.468797386
19,0.489107847
20,0.509910822
0,0.590932608
1,0.568909645
2,0.526563525
3,0.493440449
4,0.468669832
5,0.43861866
6,0.369288564
7,0.323649228
8,0.282804847
9,0.434435517
10,0.366669118
11,0.324342012
12,0.288533449
13,0.45210138
14,0.382331461
15,0.338088959
16,0.295360595
17,0.479446143
18,0.442050159
19,0.440757096
20,0.438348889
0,0.657195807
1,0.610321164
2,0.542166948
3,0.493531346
4,0.459491819
5,0.447402328
6,0.365887225
7,0.318524957
8,0.277778625
9,0.442965984
10,0.357241392
11,0.308021724
12,0.270000875
13,0.462871581
14,0.387152731
15,0.341120839
16,0.296755672
17,0.499798626
18,0.470550686
19,0.492347032
20,0.515536427
0,0.65590477
1,0.609832764
2,0.543220103
3,0.494960785
4,0.461581498
5,0.447570533
6,0.368678808
7,0.322427988
8,0.282712281
9,0.442845464
10,0.357279927
11,0.308906734
12,0.271006763
13,0.462289214
14,0.386938393
15,0.341687858
16,0.298325002
17,0.497658432
18,0.466626465
19,0.485781729
20,0.506678998
0,0.65704459
